ORG,OCCURENCE
AMAZON-AES,98.5
RUBICONPROJECT,12.75
Netic A/S,3.5
AS-PUBMATIC,67.75
STACKPATH-CDN,79.5
"SpotXchange, INC",1.0
Adform A/S,21.75
TWITTER,14.75
Taboola.com ltd,8.75
ASN-APPNEX,46.25
COGENT-174,9.5
Criteo SA,98.25
Amobee EMEA Limited,27.25
myLoc managed IT AG,15.0
SmartAdServer SAS,90.0
Conversant LLC,10.75
MEDIAMATH-INC,14.75
SOFTLAYER,4.5
DEEPINTENT,3.25
Iguane Solutions SAS,10.25
RHYTHMONE,17.25
STEADFAST,1.75
DIGITALOCEAN-ASN,4.0
PULSEPOINT,8.75
IPROM d.o.o,2.5
VOXEL-DOT-NET,21.0
BIDTELLECT,5.25
Vente-privee.com SA,13.25
ROCKETFUEL,2.75
LLNW,1.0
YAHOO-SWB,4.5
OVH SAS,53.0
AS-OUTBRAIN,12.5
Telia Company AB,3.25
YAHOO-YSM-SC8,2.0
YAHOO-1,1.25
Rtb House S.A.,4.25
GOOGLE-CLOUD-PLATFORM,15.0
Akamai International B.V.,4.5
COGECO-PEER1,7.0
SERVERS-COM,1.0
LEASEWEB-USA-WDC,6.0
internet content provider,14.5
DOUBLE-VERIFY,11.5
